set      ,adjusted_r2        ,r2                 ,p_corr            ,k_tau              ,rmse               ,mae
val      ,0.3059712171206137 ,0.41871957535011683,0.6487423846440834,0.4816997947509222 ,0.7175899147898007 ,0.5519871053683045
val      ,0.4619224417548561 ,0.5780542888581245 ,0.7604433483201082,0.5533260771309318 ,0.6704035238275591 ,0.5141219878992402
val      ,0.4462908252646648 ,0.5399035274681208 ,0.7371386439721002,0.5419642068240699 ,0.6846187943469039 ,0.5339404853481867
val      ,0.41282335609166254,0.5463689465834505 ,0.7404942202240523,0.5485305376765054 ,0.6645024971448694 ,0.5007584552459468
val      ,0.3352303780635655 ,0.4792237979775946 ,0.692441094738189 ,0.5209299421730966 ,0.7300671183732537 ,0.5566340527204511
val      ,0.35763437750576077,0.4573517846077546 ,0.6796519643900258,0.5044549022185884 ,0.7118449241848307 ,0.5291687441483721
val      ,0.4250110332206162 ,0.4974017304770134 ,0.7149292974587268,0.5208605776632723 ,0.718181339499307  ,0.5366942216040168
val      ,0.3309668897531792 ,0.4537031797624881 ,0.67646897748618  ,0.5026024200329136 ,0.7616021040693468 ,0.5707131821822841
val      ,0.4446733003139757 ,0.5328840396142828 ,0.7314297984044157,0.5357441045784376 ,0.6479305813255181 ,0.5064944467164869
val      ,0.4557528128758427 ,0.5441684208924025 ,0.7383250484105555,0.5493594379253874 ,0.6792992244528125 ,0.521471846788919
val      ,0.404226605526095  ,0.5375766071772939 ,0.7345407315497303,0.5470418080740322 ,0.6770761799273929 ,0.5193696984369984
val      ,0.42197734010870636,0.5197005955579539 ,0.7271452848080043,0.537211528343007  ,0.664800951201108  ,0.5024248219909825
val      ,0.36659938083323296,0.4691282580364866 ,0.6857662264555322,0.5002521611945611 ,0.7475938755133322 ,0.5707807841369202
val      ,0.4245448341179988 ,0.5138754194354214 ,0.7207449132033052,0.5382468926261229 ,0.6368347662084493 ,0.47914673806830643
val      ,0.4460715841568922 ,0.5400594381086108 ,0.7350766318549148,0.5400427087886754 ,0.7101297776955937 ,0.5406549181490826
val      ,0.3744879017191305 ,0.5032033876469628 ,0.7113092438643926,0.5250992732837264 ,0.7400742119450924 ,0.5534161014119858
val      ,0.36440473593130984,0.5107288255010802 ,0.7197305193514596,0.5458097338030453 ,0.7012682316908938 ,0.5206816251232896
val      ,0.5081052455117396 ,0.6213472033795406 ,0.7894943961655834,0.5975754313758049 ,0.6150302160556087 ,0.4703790970022074
val      ,0.32611372855363785,0.4453210473293481 ,0.6737553764589285,0.48008147514010535,0.7294389902917188 ,0.5564207860011358
val      ,0.4115743132952071 ,0.5432797016551246 ,0.7377979455845514,0.5538423395979323 ,0.6990808771348291 ,0.5289425867907229
val      ,0.45276336205551915,0.5831518750675615 ,0.7636611764905934,0.5663188449826283 ,0.6393332537240141 ,0.49115223613437986
train_avg,0.9160991764745892 ,0.9199149763775414 ,0.963905619819907 ,0.8423994813597896 ,0.2730070033317065 ,0.20814771031464394
val_avg  ,0.40711475539108766,0.5158323688845861 ,0.7204966870747215,0.5335860873996978 ,0.6944035503191031 ,0.527728871583179
val_comp ,0.5341843871803817 ,0.5512229913358543 ,0.7432087322529286,0.556382766678265  ,0.6710042226460821 ,0.5084136832076945
