SMILES                                                                                                       ,MolWt             ,MolLogP            ,pChEMBL Value
CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](n2nncc2C(N)=O)[C@H](O[Si](C)(C)C(C)(C)C)[C@]12OS(=O)(=O)C=C2N              ,575.8370000000002 ,2.5855000000000006 ,5.04
CC(C)(C)c1ccc(S(=O)(=O)n2ccc(C(O)c3ccc(Cl)cc3Cl)c2)cc1                                                       ,438.3760000000001 ,5.411100000000006  ,5.19
CC(C)=C(O)Cc1c(O)c(C(=O)CC(C)C)c(O)c2c(-c3ccccc3)cc(=O)oc12                                                  ,422.47700000000015,5.494400000000006  ,6.3
CC(C)=CCN1CC(C)n2c(S)nc3cccc(c32)C1C                                                                         ,301.4590000000001 ,4.228800000000003  ,4.59
CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C                                                                    ,305.8090000000001 ,3.325800000000002  ,6.84
CC(C)=CCN1CCn2c(=O)[nH]c3cccc(c32)C1C                                                                        ,271.36400000000003,2.6724000000000014 ,4.92
CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1                                                                     ,307.85000000000014,4.134090000000003  ,6.8
CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1C                                                                    ,321.8770000000001 ,4.695090000000004  ,7.64
CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1                                                                     ,307.85000000000014,4.134090000000003  ,7.34
CC(C)=CCN1CCn2c(=S)[nH]c3cccc(c32)C1C                                                                        ,287.4320000000001 ,4.041690000000003  ,7.11
CC(C)=CCN1Cc2c(C#N)ccc3nc(S)n(c23)C[C@@H]1C                                                                  ,312.4420000000001 ,3.3669800000000025 ,4.25
CC(C)=CCN1Cc2c(F)ccc3nc(S)n(c23)C[C@@H]1C                                                                    ,305.42200000000014,3.634400000000003  ,5.24
CC(C)=CCN1Cc2cc(Cl)cc3nc(O)n(c23)CC1C                                                                        ,305.8090000000001 ,3.5656000000000025 ,6.75
CC(C)=CCN1Cc2cc(Cl)cc3nc(S)n(c23)CC1C                                                                        ,321.8770000000001 ,4.148700000000003  ,7.37
CC(C)=CCN1Cc2cccc3nc(O)n(c23)C(C)C1C                                                                         ,285.391           ,3.473200000000002  ,4.25
CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C                                                                            ,271.36400000000003,2.9122000000000012 ,5.48
CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(O)n(c23)C[C@H]1C                                                            ,319.8360000000001 ,4.126600000000003  ,6.64
CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(S)n(c23)C[C@H]1C                                                            ,335.9040000000001 ,4.709700000000003  ,6.32
CC(C)=CCN1[C@@H](C)c2cccc3[nH]c(=S)n(c23)C[C@H]1C                                                            ,301.4590000000001 ,4.430190000000004  ,5.94
