SMILES                                                                                                                        ,MolWt             ,MolLogP           ,pChEMBL Value
C=CCN(C(=O)NCc1ccc(Cl)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                  ,579.1850000000004 ,5.0384000000000055,8.57
C=CCN(C(=O)NCc1ccc(F)c(F)c1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                ,580.7200000000004 ,4.663200000000005 ,8.77
C=CCN(C(=O)NCc1ccc(F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                   ,562.7300000000004 ,4.524100000000004 ,8.77
C=CCN(C(=O)NCc1ccc(F)cc1)[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@H]1CN(C(=O)C2CCCC2)C[C@]1(O)c1cccc(F)c1                              ,606.7580000000006 ,5.194200000000007 ,7.52
C=CCN(C(=O)NCc1ccc(F)cc1F)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                  ,580.7200000000004 ,4.663200000000005 ,8.79
C=CCN(C(=O)NCc1ccc(OC(F)(F)F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                           ,628.7360000000003 ,5.283600000000006 ,8.21
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1                                                                     ,497.68300000000033,6.079400000000007 ,6.96
C=CCN(C(=O)NCc1ccc(S(=O)(=O)N(C)C)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                      ,651.8740000000003 ,3.6353000000000035,8.3
C=CCN(C(=O)NCc1ccc(S(=O)(=O)N(C)C)cc1)[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@H]1CN(C(=O)C2CCCC2)C[C@]1(O)c1cccc(F)c1                 ,695.902           ,4.305400000000004 ,7.94
C=CCN(C(=O)NCc1ccc(S(=O)(=O)NC)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                         ,637.8470000000004 ,3.2931000000000026,8.53
C=CCN(C(=O)NCc1ccc(S(=O)(=O)NC)cc1)[C@@H]1C[C@@H]2CC[C@H](C1)N2C[C@H]1CN(C(=O)C2CCCC2)C[C@]1(O)c1cccc(F)c1                    ,681.8750000000002 ,3.963200000000003 ,8.4
C=CCN(C(=O)NCc1ccc(S(=O)(=O)NC)cc1)[C@H]1C[C@@H]2CC[C@H](C1)N2C[C@H]1CN(C(=O)C2CCCC2)C[C@]1(O)c1cccc(F)c1                     ,681.8750000000002 ,3.963200000000003 ,7.57
C=CCN(C(=O)NCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                        ,619.7880000000002 ,5.251400000000006 ,9.12
C=CCN(C(=O)NCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                        ,589.7370000000004 ,4.293200000000004 ,8.49
C=CCN(C(=O)NCc1cccc(C)c1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1                                                                      ,481.68400000000025,6.379220000000007 ,6.62
C=CCN(C(=O)NCc1ccccc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                      ,544.7400000000004 ,4.385000000000003 ,7.42
C=CCN(C(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                              ,605.7610000000002 ,5.573700000000006 ,9.12
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1                                                                          ,453.6300000000002 ,6.393100000000007 ,5.68
C=CCN(C(=O)OCc1ccc(Br)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                  ,624.6200000000003 ,5.574500000000007 ,7.7
C=CCN(C(=O)OCc1ccc(Cl)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                  ,580.1690000000003 ,5.465400000000007 ,8.96
C=CCN(C(=O)OCc1ccc(F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                   ,563.7140000000003 ,4.951100000000005 ,6.66
C=CCN(C(=O)OCc1ccc(OC(F)(F)F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                           ,629.7200000000004 ,5.7106000000000074,8.21
C=CCN(C(=O)OCc1ccc(OC)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                  ,575.7500000000003 ,4.820600000000005 ,8.21
C=CCN(C(=O)OCc1ccc(S(C)(=O)=O)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                          ,623.8160000000004 ,4.215500000000003 ,7.43
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(CC(C)(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                       ,647.8380000000003 ,7.174400000000009 ,4.96
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(CC(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                          ,633.8110000000003 ,6.784300000000008 ,5.42
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(CCS(=O)(=O)c2ccccc2)c2ccccc2)CC1                                             ,619.7840000000003 ,6.3958000000000075,5.36
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1                                                  ,581.7170000000003 ,6.581700000000008 ,8.0
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1                                             ,610.7550000000001 ,6.748800000000008 ,7.875
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CC(C)S(=O)(=O)C(C)C)c2ccccc2)CC1                                                ,585.7670000000003 ,5.9595000000000065,4.82
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CC(C)S(=O)(=O)CC)c2ccccc2)CC1                                                   ,571.7400000000004 ,5.571000000000006 ,5.22
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CC(C)S(C)(=O)=O)c2ccccc2)CC1                                                    ,557.7130000000003 ,5.180900000000006 ,5.22
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CC(CC)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                            ,633.8110000000003 ,7.000300000000008 ,5.14
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CCC(=O)c2ccccc2)c2ccccc2)CC1                                                    ,569.7020000000003 ,7.0208000000000075,4.82
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1                                                 ,595.7440000000004 ,6.970000000000009 ,7.32
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cc3ccccc3n2)c2ccccc2)CC1                                                     ,567.6900000000003 ,6.4076000000000075,7.57
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(-c3ccccc3)c2)c2ccccc2)CC1                                                ,593.7280000000003 ,6.921400000000008 ,7.64
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1                                                     ,556.6670000000003 ,5.320480000000005 ,7.82
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1                                                     ,586.5200000000003 ,6.5612000000000075,7.8
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc([N+](=O)[O-])c2)c2ccccc2)CC1                                             ,562.6270000000003 ,5.162600000000005 ,7.82
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1                                                     ,567.6900000000003 ,6.407600000000007 ,8.4
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1                                                           ,518.6180000000003 ,4.649400000000004 ,7.55
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1                                                     ,567.6900000000003 ,6.407600000000007 ,7.82
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnc(-c3ccccc3)n2)c2ccccc2)CC1                                                ,595.7040000000003 ,5.7114000000000065,6.96
