SMILES,CCR5_pIC50,INT_pIC50,RT_pIC50
COc1cc(/C=N/NC(=O)Nc2ccc(-n3c(C)nc4c(Br)cc(Br)cc4c3=O)cc2)ccc1O,6.048135273749075,4.762411287579668,6.440932120680178
O=C(NCc1ccccc1CN1CCCC1)c1ccc(S(=O)(=O)Nc2ccccc2F)cc1,5.126024512597274,4.856959665336298,6.1807757719030505
Cc1ccc(/C=c2/sc3nnc(-c4ccccc4Cl)n3c2=O)o1,5.553616571318996,5.416061901198979,5.506400871755054
COc1cc2ccccc2cc1C(=O)N1CCN(C)CC1,5.770139572991162,5.014831973902117,5.125202461998531
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,5.687667156075613,4.962191234850803,5.760360105281592
Nc1ncnc2c1nc(Sc1cc(Cl)cc(Cl)c1)n2Cc1ccccc1,5.6984693295978035,4.819609696239021,6.811025564210219
Cc1cc(C)c(S(=O)(=O)N2CCN(C(=O)c3ccccc3OCc3c(C)noc3C)CC2)c(C)c1,6.441525602744248,5.336299235788158,6.019314978241885
Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc2ccccc2c1C(=O)c1cc(Cl)cc(Br)c1,5.9956658992869825,4.735792745139371,5.595347171989817
O=P(O)(O)OP(=O)(O)OCCBr,5.841589101298904,4.654617243768657,5.507514874409609
COC(=O)c1ccc(NC(=O)C(=O)c2cccn2C)cc1,5.697051525527225,4.770241546652273,5.253159854608539
CCCN1CCC=C(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,5.797797184190199,4.98274353931229,6.164221804751918
O=C(N/C(=C/c1cccc(Br)c1)c1nc(S)n[nH]1)c1ccccc1,5.396125966063946,5.177253325982435,5.675915908999695
COc1cc(C2Oc3cc(-c4oc5cc(O)c(CC=C(C)C)c(O)c5c(=O)c4O)ccc3OC2CO)ccc1O,5.266076657625296,4.97091344116414,5.085498483056955
Clc1cccc(NCc2nnc3n2CCCCC3)c1,5.551334821357409,4.91628893170056,6.091232028855007
Cc1[nH]c2cc(C(=O)NCCCCCC(=O)Nc3ccccc3N)ccc2c1C,5.896262971118382,5.117798174629165,6.8799011609921505
CSc1c2sc(C3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)cn2c[n+]1Cc1cccc(C[N+]2(C)CCCC2)c1,7.600057450128837,5.066242774735032,5.3330156837082
COc1ccc(OC(C)C(=O)NCc2nc(-c3cccc(C)c3)no2)cc1,5.6599512165569275,5.025483736294134,5.486788374214678
CCC1=C(OC)C(CC)(CC)c2oc(-c3csc4cc(N)ccc34)cc(=O)c2C1=O,6.099325431862905,4.809399124693719,5.192077099973584
Cc1cc(N(C)CCN(C)C)nc(Nc2ccc(Br)cc2)n1,5.765059009783158,5.0089810882079036,6.512275625139125
C=CCn1c(SCC(=O)NCC2CCCO2)nnc1-c1ccncc1,5.3499677213686985,4.972442949518491,5.858917916234503
Cc1cc(C)c(NC(=O)C(C)n2nnc3sc4c(c3c2=O)CCCC4)c(C)c1,5.994397191004181,5.5267079320952055,7.023514192968427
CCCCCCCCCCCCCCCCOC(=O)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](C)=O)CC1,6.7295156816323605,4.582762800247178,6.372193776359484
OC(Cn1ccnc1)(c1ccc(F)cc1)c1cccc(-c2ccncc2)c1,5.317015663068415,5.4307641662018975,6.123737038000997
CCOc1ccc(C(=O)NC(=S)Nc2ccccc2N2CCC(C)CC2)cc1[N+](=O)[O-],5.036101983883433,4.772701029535618,6.624365305935229
CCCn1c(=S)[nH]c2cc(C(=O)N3CCN(C4CCCCC4)CC3)ccc2c1=O,6.344780730228161,5.437864768888183,5.754979018620744
NNC(=O)C1CC1c1ccc(Cl)cc1,5.323877250542089,4.757050124837279,5.495229355998565
Cc1nnc(-c2ccccc2)nc1N(C)C,5.631397918473376,4.782803459849293,5.495346511154413
CCCCCCCCCCCCCCCCCC(=O)c1c(C)c(CCC(=O)O)n(CCCCCC#N)c1C,6.932392428329905,4.883021130168464,5.618048831735334
Cc1ccccc1OCc1nnc(SCc2cc(O)nc3ccccc23)o1,5.801782799980799,5.479858004334018,5.732749889442798
CN(C)CCCNC(=O)C(=O)NCC1CCCO1,5.960388013770382,4.661635570077535,5.211698941027924
COC(=O)CCN[C@@H]1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,5.559886262556444,5.003053531513503,6.036549021932013
Fc1ccc(CNCc2nnc3n2CC(C(F)(F)F)CC3)c(F)c1,6.5448463900207,6.023139837431224,6.86574818109852
Oc1nc(S)nc(O)c1C(c1ccccn1)c1c(O)nc(S)nc1O,5.639363992461264,5.202847582487139,5.151531236598393
N=C(N)c1ccc2cc(-c3ccc(Oc4ccccc4)cc3)[nH]c2c1,4.998876315194832,4.994982755620284,5.30857142731629
COc1ccc(CCNCC/N=c2/cccccc2O)cc1OC,5.688989780392743,4.303763070878027,5.22125421335518
COc1sc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c2c1C,5.288256793100562,4.775418529175686,6.2336885189315705
CN(CCC(=O)O)S(=O)(=O)c1ccccc1,6.1682073593028575,4.380926973407102,5.491157754613109
Cc1cccc(N2CCN(C(=O)COc3ccc4c(c3)CCC4)CC2C)c1,5.812614547009453,5.021484784698638,5.8207284903568
Cn1nccc1CNC(=O)NC1CCN(c2ncccc2Cl)C1,6.179044991962789,4.947319352314142,6.122039421519629
Cc1oc(-c2ccccc2)nc1CC(C)(C)NC(=O)c1cnc(C2CC2)c(OCC2CC2)n1,7.116786898360471,5.195071614650553,5.842129655841096
COc1cc(-c2nc(SCC(=O)NC(=O)Nc3ccccc3)nc(Nc3cccc([N+](=O)[O-])c3)c2C#N)cc(OC)c1OC,6.81518941309973,4.806382543382828,6.678548735984986
CC(C)(C)OC(=O)N1CC[C@H](Nc2ncnc3ccc(-c4ccc(N)nc4)cc23)C1,5.465763118173332,5.497239720686362,6.076080377337341
CN(C)CCCN(C(=O)C1COc2ccccc2O1)c1nc2cc3c(cc2s1)OCO3,5.934261841991242,4.681336804304205,5.804546583543343
O=C(CCCCCC(=O)N/N=C/c1ccc(-c2cccs2)cc1)NO,5.405388895256095,5.140062693905686,6.209968558309323
Cc1c(O)cc(O)c(C(=O)CCc2ccccc2)c1O,5.735600536671984,5.204810899739318,4.956957774074068
N#CCCN(c1ccccc1)c1cc(-c2ccc(Oc3ccc(F)cc3)cc2)cc(C(=O)O)n1,5.503294525526506,5.319734925460085,6.311673343463483
Cc1ccc(-c2nc3ccccc3o2)cc1NC(=O)Cc1ccc(Cl)cc1,5.785477510971358,4.880330852384934,5.803155084436628
Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3C)ncc2Cl)cc1C,5.663367192310046,4.915789298451641,6.959176257934875
CC(C)(C)CC(=O)Nc1ccc2c(Cl)c(OCCBr)oc(=O)c2c1,6.200121065963421,5.2143257261344775,5.9348965868078185
O=C(CC[C@H](NC(=O)OCc1ccccc1)C(=O)OCc1ccccc1)NNc1ccc(OCc2ccccc2)cc1,5.817840462681638,5.44032006189797,6.108643057408168
CC(C)(C)OC(=O)NCCc1nc(I)[nH]c1I,5.886615337476924,5.115657286525069,6.244875934983635
Cc1cc(SCc2nc3ccccc3s2)nc(SCc2nc3ccccc3s2)n1,6.488263804223348,4.60690499956353,6.3504306569921445
O=C(COc1ccccc1)N1CCC[C@]2(C[C@H](OCC3CC3)CO2)C1,6.3937958338695875,4.963876103602455,5.108132364548018
COc1ccc(N(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2c(C)nn(C)c2C)cc1,6.230734354263243,5.222743273736611,6.636541163823707
CCCc1cnc2c(c1SCc1ccc(C(F)(F)F)cc1)c(=O)n(C)c(=O)n2C,5.243493910852108,5.780862041418048,5.936921092775394
