set      ,adjusted_r2        ,r2                ,p_corr            ,k_tau             ,rmse                ,mae
val      ,0.4933997168938872 ,0.6874868383436317,0.8311472047731943,0.5954009082849052,0.5852028167430017  ,0.45470896537688893
val      ,0.3018902407445879 ,0.5965469573134307,0.7745481172880073,0.5645542704155345,0.6779575352763609  ,0.5211005001963825
val      ,0.4475739841310379 ,0.6448689897985244,0.8055588505870994,0.5639976242363188,0.6097835098532314  ,0.4676693021579764
val      ,0.4323778769993265 ,0.6756445011424723,0.8234288963613833,0.5775960673008539,0.5553028089888268  ,0.4273056989361784
val      ,0.42616527899299383,0.6534634477035612,0.8123967726545729,0.5903575059984703,0.6147297204040171  ,0.4725604769046037
val      ,0.3752274477167632 ,0.6673289007323024,0.8212609211312365,0.6019817110506995,0.6436696047002141  ,0.46634688087202747
val      ,0.4274367523059086 ,0.6839748308181963,0.8292052304812696,0.5785142766215867,0.5646473846073147  ,0.4462759154216542
val      ,0.4777335872859556 ,0.6201698816625132,0.7904666900878418,0.5755393070727809,0.6099071535561222  ,0.47460912601344185
val      ,0.4005618062573554 ,0.6068619638441097,0.784838269470957 ,0.5430062794671839,0.6672807372877764  ,0.49562286558758434
val      ,0.5323361292172897 ,0.6841750483025852,0.8336655305297013,0.6207549075047736,0.5881951423665085  ,0.44877181396988436
val      ,0.3912143426468321 ,0.6679350959891811,0.8173098459487267,0.5946115852136543,0.6267083822779562  ,0.48272454314069435
val      ,0.4339441756953448 ,0.6691881546271495,0.8252724886299403,0.5916576266378007,0.6108668941467342  ,0.484729910229295
val      ,0.45435378790997916,0.5925369195431662,0.770089513051929 ,0.5449750517838493,0.6435849842030518  ,0.4925971532467656
val      ,0.3957111324083824 ,0.5212776503494978,0.7353419501646274,0.4846480347374942,0.6965201120263977  ,0.5191342273994887
val      ,0.5486725658797931 ,0.6688311684702377,0.818194119799056 ,0.6218386244690103,0.5706427947955758  ,0.4211941911083427
val      ,0.4326373281140129 ,0.6426352001757094,0.8039301204343849,0.5472343907806275,0.6558746878688535  ,0.5007318168721425
val      ,0.4286603200868718 ,0.6290002078486181,0.7936197065083732,0.5665873353649828,0.615504878702702   ,0.46550985408358314
val      ,0.425520786257791  ,0.6530742410517829,0.8123518967305652,0.576609187891196 ,0.6278433100359707  ,0.5086881103605282
val      ,0.5851012372769899 ,0.700949593102246 ,0.8396625246208085,0.6193792509210067,0.5782280736807515  ,0.44822012132538047
val      ,0.3945345084444897 ,0.6107721840000291,0.7823816245201749,0.5409892333164515,0.6568323530672611  ,0.5233267458621107
val      ,0.44274786352311   ,0.5549219948918346,0.748670106153835 ,0.521878194398974 ,0.7254240266775456  ,0.5591243340572567
val      ,0.47569668466763315,0.6969935385416841,0.8404399167548863,0.624969032545063 ,0.5451578510010331  ,0.42573626017817606
val      ,0.32263027951118683,0.6437211210415983,0.8126535731630916,0.5604751519289218,0.5946508698867223  ,0.456533766946806
val      ,0.5427996388461854 ,0.6645218129196035,0.8192196071869765,0.6017966696745175,0.6293936620486882  ,0.4925002236877134
train_avg,0.9935909365126605 ,0.994209642513269 ,0.9973026870149213,0.9608241133129932,0.06868355475276089 ,0.044360363834866676
val_avg  ,0.4454213584211083 ,0.6455809903015632,0.8067949764515427,0.5780679173507923,0.6200091781565449  ,0.47671174090807505
val_comp ,0.6679385419807314 ,0.691465997223337 ,0.8346887914054706,0.6059675574395063,0.5811133294894951  ,0.4526261315174459
